	Name	Diam	Class	H	time
558	2000 HB24	0.048	S*	23.95	-1
559	2012 VP76	0.048	S*	23.96	-1
560	2010 CK1	0.047	S*	24.0	-1
561	2009 WV25	0.047	S*	24.0	-1
562	2010 RJ53	0.047	S*	24.0	-1
563	2017 CP32	0.047	S*	24.0	-1
564	2006 HH56	0.047	S*	24.0	-1
565	2015 VG105	0.047	S*	24.0	-1
566	2004 TC18	0.047	S*	24.0	-1
567	1999 SF10	0.047	S*	24.0	-1
568	2015 BD	0.047	S*	24.0	-1
569	Duende	0.047	S*	24.0	-1
570	2017 BK	0.047	S*	24.0	-1
571	2010 FC	0.047	S*	24.0	-1
572	2016 AG166	0.047	S*	24.0	-1
573	2015 QT3	0.047	S*	24.0	-1
574	2014 CS13	0.047	S*	24.0	-1
575	2001 KU66	0.045	S*	24.1	-1
576	2016 QB2	0.045	S*	24.1	-1
577	2000 SM10	0.045	S*	24.1	-1
578	2013 UH5	0.045	S*	24.1	-1
579	2009 WY7	0.045	S*	24.1	-1
580	2015 XB	0.045	S*	24.1	-1
581	2014 EY24	0.045	S*	24.1	-1
582	2010 WB	0.045	S*	24.1	-1
583	2013 SR	0.045	S*	24.1	-1
584	2018 UY1	0.045	S*	24.1	-1
585	2015 VO105	0.045	S*	24.1	-1
586	2017 EH4	0.045	S*	24.1	-1
587	2015 MC	0.045	S*	24.1	-1
588	2014 WE120	0.045	S*	24.1	-1
589	2007 HL4	0.045	S*	24.1	-1
590	2012 HM	0.045	S*	24.1	-1
591	2014 GN1	0.045	S*	24.1	-1
592	2015 YD	0.045	S*	24.1	-1
593	2004 VJ1	0.045	S*	24.1	-1
594	2008 CP	0.045	S*	24.1	-1
595	2015 HV11	0.045	S*	24.1	-1
596	2015 VE66	0.045	S*	24.1	-1
597	2019 UC	0.044	S*	24.15	-1
598	2015 DS53	0.043	S*	24.2	-1
599	2015 TZ237	0.043	S*	24.2	-1
600	2016 ES1	0.043	S*	24.2	-1
601	2009 WB	0.043	S*	24.2	-1
602	2019 KZ3	0.043	S*	24.2	-1
603	2016 VP4	0.043	S*	24.2	-1
604	2006 XY	0.043	S*	24.2	-1
605	2019 UR12	0.043	S*	24.2	-1
606	2011 UQ63	0.043	S*	24.2	-1
