Name	Diam	Class	H	time
2019 UR12	0.043	S*	24.2	-1
2019 WC5	0.09	S*	22.6	-1
2019 WV	0.026	S*	25.27	-1
2019 XN1	0.13	S*	21.79	-1
2019 YW2	0.042	S*	24.25	-1
2020 AD3	0.137	S*	21.68	-1
2020 BZ11	0.108	S*	22.2	-1
2021 EX1	0.031	S*	24.88	-1
2021 FH	0.013	S*	26.73	-1
2021 FK3	0.095	S*	22.47	-1
2012 CO46	0.086	S*	22.7	-1
2006 KV89	0.157	S*	21.38	-1
2005 BO1	0.156	S*	21.4	-1
2014 EK24	0.063	S*	23.38	-1
2004 KH17	0.124	S*	21.9	-1
2014 KQ76	0.136	S*	21.7	-1
2009 SC15	0.122	S*	21.93	-1
2013 UE3	0.082	S*	22.8	-1
2001 RU17	0.149	S*	21.5	-1
2005 UO	0.113	S*	22.1	-1
2009 XZ1	0.136	S*	21.7	-1
2012 WK4	0.148	S*	21.51	-1
2005 ES70	0.052	S*	23.8	-1
2011 PT	0.049	S*	23.9	-1
2002 FD6	0.094	S*	22.51	-1
2002 XY38	0.078	S*	22.9	-1
2005 XB1	0.118	S*	22.0	-1
2015 JA2	0.159	S*	21.36	-1
2012 HM1	0.156	S*	21.4	-1
2009 JL1	0.153	S*	21.44	-1
2010 CF19	0.136	S*	21.7	-1
2014 OA2	0.149	S*	21.5	-1
2009 TK	0.103	S*	22.3	-1
2007 CA27	0.157	S*	21.39	-1
2008 HS3	0.154	S*	21.43	-1
2011 LT17	0.134	S*	21.73	-1
2014 AY28	0.122	S*	21.93	-1
2014 QX266	0.091	S*	22.58	-1
2015 BY310	0.13	S*	21.79	-1
2011 AK5	0.149	S*	21.5	-1
1999 MN	0.156	S*	21.4	-1
2021 GG11	0.07	S*	23.13	-1
2005 EE	0.157	S*	21.39	-1
2021 GJ3	0.054	S*	23.7	-1
2021 GQ10	0.014	S*	26.65	-1
2021 HC3	0.143	S*	21.59	-1
2021 HN	0.012	S*	26.9	-1
2021 JB6	0.005	S*	28.78	-1
2021 JR3	0.03	S*	24.95	-1
2021 KN2	0.006	S*	28.63	-1
2021 NY1	0.119	S*	21.98	-1
2021 RS	0.027	S*	25.18	-1
2021 UH2	0.026	S*	25.31	-1
2000 EH26	0.136	S*	21.7	-1
1996 XB27	0.136	S*	21.7	-1
2006 UP	0.075	S*	23.0	-1
2007 RQ17	0.09	S*	22.6	-1
2013 NX	0.113	S*	22.1	-1
Akhenaten	0.136	S*	21.7	-1
2000 SJ344	0.086	S*	22.7	-1
2008 GG2	0.08	S*	22.86	-1
1998 KG3	0.106	S*	22.23	-1
2002 NV16	0.156	S*	21.4	-1
Duende	0.047	S*	24.0	-1
2009 CP5	0.149	S*	21.5	-1
2008 QF	0.134	S*	21.73	-1
2009 FD	0.113	S*	22.1	-1
2010 DF1	0.119	S*	21.98	-1
2011 EM51	0.124	S*	21.9	-1
2008 WJ60	0.15	S*	21.48	-1
2000 AC6	0.149	S*	21.49	-1
2018 XU6	0.084	S*	22.31	-1
2018 XA	0.054	S*	23.7	-1
2018 VN3	0.138	S*	21.66	-1
2017 DA36	0.028	S*	25.1	-1
2017 BJ30	0.014	S*	26.7	-1
2017 BK	0.047	S*	24.0	-1
2017 BL30	0.065	S*	23.3	-1
2017 BM123	0.052	S*	23.8	-1
2017 BS32	0.011	S*	27.2	-1
2017 BS5	0.042	S*	24.24	-1
2017 BT	0.103	S*	22.3	-1
2017 BU	0.027	S*	25.2	-1
2017 BW	0.059	S*	23.49	-1
2017 BY93	0.066	S*	23.28	-1
2017 CF32	0.015	S*	26.47	-1
2017 CP32	0.047	S*	24.0	-1
2017 CR32	0.09	S*	22.6	-1
2017 DA38	0.03	S*	25.0	-1
2017 AS4	0.013	S*	26.8	-1
2017 DL34	0.02	S*	25.9	-1
2017 DV15	0.027	S*	25.2	-1
2017 EA3	0.068	S*	23.2	-1
2017 EE3	0.019	S*	26.0	-1
2017 EE4	0.03	S*	25.0	-1
2017 EH4	0.045	S*	24.1	-1
2017 EK3	0.016	S*	26.3	-1
2017 EZ2	0.028	S*	25.1	-1
2017 FH101	0.094	S*	22.5	-1
2017 FJ	0.007	S*	28.2	-1
2017 FK	0.01	S*	27.4	-1
2017 GK4	0.142	S*	21.6	-1
2017 GM4	0.118	S*	22.0	-1
2017 AT4	0.014	S*	26.6	-1
2017 AR4	0.033	S*	24.8	-1
2017 HU49	0.015	S*	26.5	-1
2016 VA	0.009	S*	27.6	-1
2016 RD34	0.009	S*	27.7	-1
2016 RF34	0.037	S*	24.5	-1
2016 RH18	0.142	S*	21.6	-1
2016 RJ18	0.059	S*	23.5	-1
2016 RL20	0.059	S*	23.5	-1
2016 RM20	0.017	S*	26.2	-1
2016 RT33	0.049	S*	23.9	-1
2016 SA2	0.007	S*	28.2	-1
2016 SW1	0.006	S*	28.5	-1
2016 SZ1	0.016	S*	26.3	-1
2016 TD18	0.057	S*	23.6	-1
2016 TL2	0.108	S*	22.2	-1
2016 UE	0.024	S*	25.48	-1
2016 VP4	0.043	S*	24.2	-1
2017 AG5	0.089	S*	22.63	-1
2016 WB8	0.02	S*	25.9	-1
2016 WG7	0.019	S*	26.0	-1
2016 WL7	0.041	S*	24.3	-1
2016 WP	0.124	S*	21.9	-1
2016 WQ	0.024	S*	25.5	-1
2016 WZ8	0.006	S*	28.4	-1
2016 XR23	0.025	S*	25.4	-1
2016 YF	0.025	S*	25.4	-1
2016 YH3	0.037	S*	24.5	-1
2016 YM	0.118	S*	22.0	-1
2016 YM1	0.113	S*	22.1	-1
2016 YM3	0.013	S*	26.8	-1
2017 AE3	0.13	S*	21.8	-1
2017 HN3	0.142	S*	21.6	-1
2017 HV3	0.054	S*	23.7	-1
2018 UY1	0.045	S*	24.1	-1
2018 DY3	0.022	S*	25.7	-1
2017 WX12	0.113	S*	22.13	-1
2017 XS	0.084	S*	22.74	-1
2017 YF7	0.057	S*	23.6	-1
2017 YR3	0.026	S*	25.3	-1
2017 YW3	0.015	S*	26.5	-1
2018 AF3	0.082	S*	22.8	-1
2018 AJ	0.037	S*	24.5	-1
2018 AO18	0.149	S*	21.5	-1
2018 AQ2	0.113	S*	22.1	-1
2018 BG1	0.024	S*	25.5	-1
2018 BT6	0.137	S*	21.68	-1
2018 CB	0.02	S*	25.9	-1
2018 DT	0.011	S*	27.1	-1
2018 EH	0.039	S*	24.4	-1
2017 VY13	0.016	S*	26.4	-1
2018 EJ4	0.156	S*	21.4	-1
2018 GE3	0.052	S*	23.8	-1
2018 JK3	0.136	S*	21.7	-1
2018 JX	0.062	S*	23.4	-1
2018 KF1	0.021	S*	25.8	-1
2018 LK	0.133	S*	21.75	-1
2018 LQ2	0.031	S*	24.9	-1
2018 QN1	0.156	S*	21.4	-1
2018 QU1	0.082	S*	22.8	-1
2018 RC	0.031	S*	24.9	-1
2018 RQ2	0.078	S*	22.9	-1
2018 TS	0.091	S*	22.58	-1
2018 UQ1	0.116	S*	22.05	-1
2017 VZ14	0.028	S*	25.1	-1
2017 VV12	0.007	S*	28.0	-1
2017 JA2	0.034	S*	24.7	-1
2017 QR35	0.026	S*	25.3	-1
2017 JM2	0.041	S*	24.3	-1
2017 KJ27	0.025	S*	25.4	-1
